Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-02-14,5907.67,5937.44,5942.53,5878.9,5909.47,-1.800000000000182,-0.00030459584362052463,1.1637449940213889,0.027033276137527228,63.63000000000011,1.0108234533671265,0.010767463071984477,5875.765999999998,5727.223333333332,5693.959666666668,5871.0192457467165,30.384911508311063,89.23589865416874,83.18599185534636,101.33571225181348,1.8393312418250172,64.7804389544477,42.13680000000004
2020-02-13,5909.47,5855.64,5935.31,5855.33,5915.5,-6.029999999999745,-0.0010193559293381364,1.1640995739131632,0.0273462015204697,79.98000000000047,1.013659349686525,0.013520412475699514,5838.513999999998,5716.236,5682.945000000002,5852.693868620075,30.16404164580311,89.8377809666966,80.16103845593518,109.19126598821944,1.8518209798142058,64.93468534391842,62.783200000000036
2020-02-12,5915.5,5893.75,5917.4,5882.78,5847.53,67.97000000000025,0.011623711207980166,1.165287416550607,0.028394501553326817,34.61999999999989,1.0058849727509782,0.0059204484628552385,5817.364,5708.9186666666665,5667.887000000002,5824.305802930113,24.809295379702263,87.71184070896533,75.32266720055448,112.49018772578702,1.891780874447101,65.41923321934976,51.32079999999987
2020-02-11,5847.53,5841.13,5882.3,5826.46,5798.66,48.86999999999989,0.008427809183500997,1.1518980858595507,0.016578091398550404,55.840000000000146,1.0095838639585615,0.009629811025305872,5786.489999999999,5698.03,5652.092666666669,5778.70870439517,10.959839781562607,81.77330423833274,69.12808044634905,107.06375182230013,1.6659202061832523,62.48949996025271,36.17600000000002
2020-02-10,5798.66,5690.25,5798.99,5690.03,5721.41,77.25,0.013501916485621551,1.1422712417978773,0.008082167251663247,108.96000000000004,1.019149283922932,0.019044256573117473,5759.507999999999,5690.407999999999,5639.84466666667,5744.298056592755,-0.12491379946587244,76.7305269632263,62.805468550357205,104.5806437889645,1.515127271112418,60.24058060657467,33.994400000000134
2020-02-07,5721.41,5764.82,5765.26,5717.31,5803.72,-82.3100000000004,-0.014182283087399186,1.1270538547758955,-0.005347547099616356,47.94999999999982,1.00838681128013,0.008261942340429899,5712.681999999999,5686.234666666666,5629.634333333336,5717.117084889133,-9.7212230817604,68.18664490288143,55.84293934392266,92.87405602079896,1.2937910656622642,56.404050265524965,59.28560000000016
2020-02-06,5803.72,5783.49,5807.27,5749.53,5761.13,42.590000000000146,0.007392646928640761,1.143268005271421,0.008961835272601502,57.74000000000069,1.0100425600005567,0.010022339367450603,5663.089999999998,5686.393999999999,5621.3176666666695,5714.9706273337,-10.361440961278277,65.92179427739909,49.67108656444327,98.4232097033107,1.6565589001898977,62.35731871299682,115.28000000000011
2020-02-05,5761.13,5812.33,5821.29,5723.97,5712.62,48.51000000000022,0.008491725337936048,1.1348782510543827,0.0015576730173134724,97.31999999999971,1.0170021855460458,0.01703596598408431,5626.571999999998,5675.691999999999,5610.149000000003,5670.595941000549,-29.186644691286347,51.28244010490977,41.545732707965364,70.75585489879857,1.5218379988364903,60.34638226319956,88.24240000000009
2020-02-04,5712.62,5675.34,5715.39,5651.25,5564.53,148.09000000000015,0.026613209022145652,1.1253223229710643,-0.006875666052985252,64.14000000000033,1.0113497013934971,0.011526579962728269,5597.901999999998,5669.582666666666,5600.131333333336,5625.328911500824,-50.05419131974395,38.51658939956824,36.67737900949316,42.19501017971841,1.3793514291848294,57.97174020894417,63.129600000000025
2020-02-03,5564.53,5498.69,5574.82,5498.11,5473.45,91.07999999999993,0.016640327398624255,1.0961502473194744,-0.03262073269739947,76.71000000000004,1.0139520671648985,0.014014926600224728,5589.989999999999,5667.515333333333,5590.466000000003,5581.683367251237,-71.3355234715898,25.45805589667073,35.75777381445562,4.85862006110095,0.9754422656893981,49.37842439799091,56.80000000000018
